"S.
No.",STATE/UNION TERRITORY,EDUCATION DEPARTMENTS,O D 17-18 RE EDUCATION,O D 17-18 RE TRAINING FORMAL,O D 17-18 RE TRAINING INFORMAL,O D 17-18 RE TOTAL,GRAND TOTAL
,,,,,,,
,,,,,,,
1.0,ANDHRA PRADESH,256371166.0,150392391.0,2610923.0,0.0,153003314.0,409374480.0
2.0,ARUNACHAL PRADESH,9971381.0,2447338.0,485994.0,0.0,2933332.0,12904713.0
3.0,ASSAM,158430441.0,21043113.0,1952616.0,0.0,22995729.0,181426170.0
4.0,BIHAR,154728302.0,35037441.0,7548373.0,6802.0,42592616.0,197320918.0
5.0,CHHATTISGARH,152586411.0,8838946.0,3136823.0,567511.0,12543280.0,165129691.0
6.0,GOA,16060299.0,9148932.0,945387.0,0.0,10094319.0,26154618.0
7.0,GUJARAT,218365793.0,68408075.0,82076208.0,748183.0,151232465.0,369598258.0
8.0,HARYANA,129835509.0,22938154.0,6190481.0,83457.0,29212092.0,159047601.0
9.0,HIMACHAL PRADESH,59750965.0,10263364.0,1879724.0,0.0,12143088.0,71894053.0
10.0,JAMMU & KASHMIR,55693440.0,17743612.0,7028050.0,0.0,24771662.0,80465102.0
11.0,JHARKHAND,93396670.0,21194641.0,3488372.0,100000.0,24783013.0,118179683.0
12.0,KARNATAKA,233906786.0,54825500.0,13055400.0,0.0,67880900.0,301787686.0
13.0,KERALA,186531004.0,74113514.0,7184171.0,641402.0,81939087.0,268470091.0
14.0,MADHYA PRADESH,244818862.0,50991379.0,8734401.0,0.0,59725780.0,304544642.0
15.0,MAHARAHSTRA,549066305.0,167351432.0,10998531.0,62594.0,178412557.0,727478862.0
16.0,MANIPUR,10304508.0,5368917.0,538639.0,3711.0,5911267.0,16215775.0
17.0,MEGHALAYA,15524972.0,1164969.0,702024.0,0.0,1866993.0,17391965.0
18.0,MIZORAM,9505597.0,9711760.0,9366313.0,49557.0,19127630.0,28633227.0
19.0,NAGALAND,13903875.0,331047.0,840752.0,0.0,1171799.0,15075674.0
20.0,ODISHA,133441989.0,38379985.0,16954054.0,91870.0,55425909.0,188867898.0
21.0,PUNJAB,107864268.0,15714273.0,3801970.0,0.0,19516243.0,127380511.0
22.0,RAJASTHAN,280341617.0,28946743.0,3193794.0,0.0,32140537.0,312482154.0
23.0,SIKKIM,8164777.0,409184.0,389046.0,18324.0,816554.0,8981331.0
24.0,TAMIL NADU,291753895.0,110687945.0,10305718.0,332859.0,121326522.0,413080417.0
25.0,TELANGANA,111614017.0,115732214.0,2101292.0,0.0,117833506.0,229447523.0
26.0,TRIPURA,24854526.0,2015646.0,557778.0,5661.0,2579085.0,27433611.0
27.0,UTTARAKHAND,66595332.0,19241680.0,2623229.0,0.0,21864909.0,88460241.0
28.0,UTTAR PRADESH,544707521.0,308852724.0,9445794.0,0.0,318298518.0,863006039.0
29.0,WEST BENGAL,283716000.0,117884317.0,2939847.0,0.0,120824164.0,404540164.0
30.0,A & N ISLANDS,5765500.0,689650.0,229890.0,7950.0,927490.0,6692990.0
31.0,CHANDIGARH,6649900.0,3294500.0,324500.0,0.0,3619000.0,10268900.0
32.0,DADRA & NAGAR HAVELI,1271500.0,102700.0,31180.0,0.0,133880.0,1405380.0
33.0,DAMAN & DIU,1447600.0,65200.0,66300.0,0.0,131500.0,1579100.0
34.0,DELHI,94808724.0,7336998.0,6290178.0,0.0,13627176.0,108435900.0
35.0,LAKSHADWEEP,1540400.0,161200.0,2970.0,0.0,164170.0,1704570.0
36.0,PUDUCHERRY,10121329.0,2162148.0,189503.0,31689.0,2383340.0,12504669.0
37.0,CENTRAL TOTAL,850102900.0,953637709.0,73267122.0,0.0,1026904831.0,1877007731.0
